AIRPORT,Year,INBOUND FRIEGHT,OUTBOUND FREIGHT,INBOUND MAIL,OUTBOUND MAIL
GOLD COAST,1999-00,0.0,0.0,0.0,0.0
GOLD COAST,2000-01,0.0,0.0,0.0,0.0
GOLD COAST,2001-02,0.0,0.0,0.0,0.0
GOLD COAST,2002-03,339.366,101.163,0.0,0.0
GOLD COAST,2003-04,812.315,1.672,0.0,0.0
GOLD COAST,2004-05,0.0,20.88,0.0,0.0
GOLD COAST,2005-06,0.158,62.902,0.0,0.0
GOLD COAST,2006-07,1.622,0.483,0.0,0.0
GOLD COAST,2007-08,440.141,127.069,0.0,0.0
GOLD COAST,2008-09,1386.862,905.802,170.42,4.606
GOLD COAST,2009-10,3598.232,1250.713,45.381,52.073
GOLD COAST,2010-11,6242.1,1354.574,15.307,348.237
GOLD COAST,2011-12,3982.297,1089.148,35.433,337.502
GOLD COAST,2012-13,5100.419,1190.189,132.981,375.266
GOLD COAST,2013-14,3302.652,791.014,148.961,355.066
GOLD COAST,2014-15,3068.923,695.382,100.601,322.798
GOLD COAST,2015-16,3153.549,2052.481,44.163,47.685
GOLD COAST,2016-17,4829.531,2463.615,47.344,0.0
GOLD COAST,2017-18,6692.618,2980.176,52.837,0.0
GOLD COAST,2018-19,2509.95,1071.017,30.57,0.0
GOLD COAST,2019-20,659.078,416.622,5.694,0.0
GOLD COAST,2020-21,29.58,3.264,0.007,0.0
GOLD COAST,2021-22,262.472,24.439,0.0,0.0
GOLD COAST,2022-23,649.009,192.629,66.593,5.69
HOBART,1985-86,92.158,29.068,2.221,0.035
HOBART,1986-87,152.02,106.388,0.706,0.0
HOBART,1987-88,193.776,67.415,0.231,0.008
HOBART,1988-89,118.63,67.582,0.502,0.0
HOBART,1989-90,175.148,25.646,0.786,0.0
HOBART,1990-91,197.136,17.822,0.392,0.0
HOBART,1991-92,31.59,3.103,0.086,0.0
HOBART,1992-93,36.511,3.175,0.0,0.0
HOBART,1993-94,32.222,4.152,0.0,0.147
HOBART,1994-95,7.166,3.398,0.0,0.0
HOBART,1995-96,8.876,7.293,0.0,0.0
HOBART,1996-97,3.335,3.948,0.0,0.0
HOBART,1997-98,3.092,1.733,0.0,0.0
HOBART,1998-99,0.0,0.0,0.0,0.0
HOBART,1999-00,0.0,0.0,0.0,0.0
HOBART,2000-01,0.0,0.0,0.0,0.0
HOBART,2001-02,0.0,0.0,0.0,0.0
HOBART,2002-03,0.0,0.0,0.0,0.0
HOBART,2003-04,0.0,0.0,0.0,0.0
HOBART,2004-05,0.0,0.0,0.0,0.0
HOBART,2005-06,0.0,0.0,0.0,0.0
HOBART,2006-07,0.0,0.0,0.0,0.0
